year,gdppc_2011usd,region,gdp_growth,is_post_gpt_10,is_post_gpt_30,is_post_gpt_50,T_proxy,post_gpt_10_T,post_gpt_30_T,post_gpt_50_T,years_since_last_gpt,log_years_since_last_gpt,war_dummy
500,580,Western Europe,-3.3333333333333326,0,0,0,6.396929655216146,0.0,0.0,0.0,,,0
1000,640,Western Europe,10.344827586206897,0,0,0,6.363028103540465,0.0,0.0,0.0,,,0
1300,780,Western Europe,21.875,0,0,0,6.461468176353717,0.0,0.0,0.0,,,0
1400,820,Western Europe,5.128205128205132,0,0,0,6.659293919683638,0.0,0.0,0.0,,,0
1450,850,Western Europe,3.658536585365857,0,0,0,6.709304340258298,0.0,0.0,0.0,,,0
1500,900,Western Europe,5.882352941176472,0,0,0,6.745236349484363,0.0,0.0,0.0,,,0
1550,980,Western Europe,8.888888888888879,0,0,0,6.802394763324311,0.0,0.0,0.0,,,0
1600,1050,Western Europe,7.14285714285714,0,0,0,6.887552571664617,0.0,0.0,0.0,,,0
1650,1100,Western Europe,4.761904761904767,0,0,0,6.956545443151569,0.0,0.0,0.0,,,0
1700,1200,Western Europe,9.090909090909085,0,0,0,7.003065458786462,0.0,0.0,0.0,0.0,,0
1750,1350,Western Europe,12.5,0,0,1,7.090076835776092,0.0,0.0,7.090076835776092,50.0,3.912023005428146,0
1769,1450,Western Europe,7.407407407407418,0,0,0,7.2078598714324755,0.0,0.0,0.0,0.0,,0
1780,1550,Western Europe,6.896551724137923,0,1,1,7.27931883541462,0.0,7.27931883541462,7.27931883541462,0.0,,0
1800,1700,Western Europe,9.6774193548387,0,1,1,7.346010209913293,0.0,7.346010209913293,7.346010209913293,20.0,2.995732273553991,0
1820,1850,Western Europe,8.823529411764696,0,0,1,7.438383530044307,0.0,0.0,7.438383530044307,40.0,3.688879454113936,0
1825,1950,Western Europe,5.405405405405395,0,0,1,7.52294091807237,0.0,0.0,7.52294091807237,0.0,,0
1840,2200,Western Europe,12.82051282051282,1,1,1,7.575584651557793,7.575584651557793,7.575584651557793,7.575584651557793,3.0,1.0986122886681098,0
1856,2600,Western Europe,18.181818181818187,0,1,1,7.696212639346407,0.0,7.696212639346407,7.696212639346407,0.0,,0
1870,3100,Western Europe,19.23076923076923,0,1,1,7.863266724009573,0.0,7.863266724009573,7.863266724009573,14.0,2.6390573296152584,0
1882,3600,Western Europe,16.129032258064523,0,1,1,8.039157390473237,0.0,8.039157390473237,8.039157390473237,0.0,,0
1885,3700,Western Europe,2.777777777777768,1,1,1,8.1886891244442,8.1886891244442,8.1886891244442,8.1886891244442,0.0,,0
1900,4500,Western Europe,21.62162162162162,0,1,1,8.216088098632316,0.0,8.216088098632316,8.216088098632316,15.0,2.70805020110221,0
1908,5000,Western Europe,11.111111111111116,1,1,1,8.411832675758411,8.411832675758411,8.411832675758411,8.411832675758411,0.0,,0
1913,5500,Western Europe,10.000000000000009,1,1,1,8.517193191416238,8.517193191416238,8.517193191416238,8.517193191416238,5.0,1.6094379124341005,0
1929,6800,Western Europe,23.636363636363633,0,1,1,8.612503371220562,0.0,8.612503371220562,8.612503371220562,21.0,3.044522437723423,1
1947,6500,Western Europe,-4.411764705882348,0,0,1,8.824677891164198,0.0,0.0,8.824677891164198,0.0,,1
1950,7000,Western Europe,7.692307692307687,1,1,1,8.779557455883728,8.779557455883728,8.779557455883728,8.779557455883728,3.0,1.0986122886681098,0
1960,9000,Western Europe,28.57142857142858,0,1,1,8.85366542803745,0.0,8.85366542803745,8.85366542803745,13.0,2.5649493574615367,0
1971,12500,Western Europe,38.888888888888886,0,1,1,9.104979856318357,0.0,9.104979856318357,9.104979856318357,0.0,,0
1980,16000,Western Europe,28.000000000000004,1,1,1,9.433483923290392,9.433483923290392,9.433483923290392,9.433483923290392,9.0,2.1972245773362196,0
1991,19000,Western Europe,18.75,0,1,1,9.680344001221918,0.0,9.680344001221918,9.680344001221918,0.0,,0
2000,24000,Western Europe,26.315789473684205,1,1,1,9.852194258148575,9.852194258148575,9.852194258148575,9.852194258148575,9.0,2.1972245773362196,0
2010,30000,Western Europe,25.0,0,1,1,10.085809109330082,0.0,10.085809109330082,10.085809109330082,19.0,2.9444389791664403,0
2017,38000,Western Europe,26.66666666666666,0,1,1,10.308952660644293,0.0,10.308952660644293,10.308952660644293,0.0,,0
